"Issue Type","Summary","Description","Priority","Original Estimate","Epic Name","Epic Link","Labels","Labels","Labels","Labels","Labels","Labels"
"Story","[STI-204] Foundation load tests","Plan ID: STI-204 | Sprint: S4 Foundation - PO and entity management | Estimate: 16h (2d)

Full specification: docs/workings/RELEASE_1_SPRINT_PLAN.md

h3. Mechanism
Idempotency is asserted, not assumed.

h3. Acceptance criteria
* Fixture-driven coverage: fresh load, re-run, renamed entity, conflicting ref, adoption path

h3. Depends on
STI-202

h3. Definition of done
* Reachable through the UI by a user with the right permission
* Custody-affecting changes write a complete ledger event
* Permissions checked, never role names
* Authorisation before data access
* Migrations committed with the code; CI green with no drift
* Integration tests cover the happy path and the listed cases
* Lead review","High","57600","","E2 Foundation identity and load","sti-204","sprint-4","deliverable-2","testing","",""
"Story","[STI-205] Foundation ODBC connection and field mapping","Plan ID: STI-205 | Sprint: S4 Foundation - PO and entity management | Estimate: 8h (1d)

Full specification: docs/workings/RELEASE_1_SPRINT_PLAN.md

h3. Mechanism
ADR-8: Foundation is reached over its ODBC database layer, not a file drop. Urban already runs a PHP sync against it, and that script is the reference for table and column mapping. Stand up a read-only connection and write the mapping down. Whether the PHP is kept as a sidecar or ported into the monorepo is deferred — it changes who runs the sync, not what the sync means.

h3. Acceptance criteria
* Read-only ODBC connection from a service account. STInventory NEVER writes to Foundation
* Credentials handled as secrets, never in the repo. The PHP script's auth is the open item standing between this and a working sync — resolve it here
* Field mapping written down: Foundation table and column to STInventory entity and field, for projects, phases, cost codes and users
* Connection failure is a loud, typed error, never a silent empty result set — an empty sync that looks successful would mark every entity as unmatched

h3. Cases
* Foundation is unreachable at sync time: the load aborts and reports, leaving prior data intact

h3. Definition of done
* Reachable through the UI by a user with the right permission
* Custody-affecting changes write a complete ledger event
* Permissions checked, never role names
* Authorisation before data access
* Migrations committed with the code; CI green with no drift
* Integration tests cover the happy path and the listed cases
* Lead review","High","28800","","E2 Foundation identity and load","sti-205","sprint-4","deliverable-2","foundation","adr-8",""
"Story","[STI-301] Gap detection engine","Plan ID: STI-301 | Sprint: S1 Release 1 - by 24 Aug 2026 | Estimate: 20h (2.5d)

Full specification: docs/workings/RELEASE_1_SPRINT_PLAN.md

h3. Mechanism
A scheduled pass over the current projection, expressed as independent rules so a new check is a new rule and not a new job. Rules cover: foreman with no truck, foreman with no trailer, project with no foreman, project with no PM, tool out with no custodian, assignment not confirmed in 30 days.

h3. Acceptance criteria
* Alerts are idempotent by (rule, subject). Re-running the pass does not multiply alerts. This is the failure mode that makes people stop reading them
* An alert self-clears when the condition resolves. Nobody dismisses a gap manually
* Severity drives placement: crit on the desk and dashboard, warn in the alert list, info in the digest only
* Adding a rule requires no change to the scheduler

h3. Cases
* A foreman with no truck who is also on no project: one alert, not two, and the project rule does not fire for an unassigned person
* A project completes with open gaps: alerts resolve on completion rather than lingering

h3. Depends on
STI-501

h3. Definition of done
* Reachable through the UI by a user with the right permission
* Custody-affecting changes write a complete ledger event
* Permissions checked, never role names
* Authorisation before data access
* Migrations committed with the code; CI green with no drift
* Integration tests cover the happy path and the listed cases
* Lead review","High","72000","","E3 Alerts and assignment gaps","sti-301","sprint-1","deliverable-3","alerts","",""
"Story","[STI-302] Real notification delivery","Plan ID: STI-302 | Sprint: S4 Foundation - PO and entity management | Estimate: 16h (2d)

Full specification: docs/workings/RELEASE_1_SPRINT_PLAN.md

h3. Mechanism
Replace the console stub with a provider interface that has at least one working implementation. Mark delivered_at from the provider's response, not optimistically before the call. The current stub is worse than no delivery because the record claims success.

h3. Acceptance criteria
* Email delivery works against a real provider
* Failures are retried with backoff and surfaced after N attempts
* delivered_at reflects reality
* Per-tenant enable flags (email_enabled, sms_enabled) are honoured
* SMS may remain an unimplemented interface if Urban has no provider yet, but it must fail loudly rather than log and claim success

h3. Definition of done
* Reachable through the UI by a user with the right permission
* Custody-affecting changes write a complete ledger event
* Permissions checked, never role names
* Authorisation before data access
* Migrations committed with the code; CI green with no drift
* Integration tests cover the happy path and the listed cases
* Lead review","High","57600","","E3 Alerts and assignment gaps","sti-302","sprint-4","deliverable-3","alerts","",""
"Story","[STI-303] Desk alert surface","Plan ID: STI-303 | Sprint: S1 Release 1 - by 24 Aug 2026 | Estimate: 16h (2d)

Full specification: docs/workings/RELEASE_1_SPRINT_PLAN.md

h3. Mechanism
Critical alerts need one place that the Equipment desk actually looks at.

h3. Acceptance criteria
* Critical alerts appear on the desk grouped by severity then project
* Each alert names its subject and links to the screen that resolves it
* The count is visible in the nav badge

h3. Depends on
STI-301

h3. Definition of done
* Reachable through the UI by a user with the right permission
* Custody-affecting changes write a complete ledger event
* Permissions checked, never role names
* Authorisation before data access
* Migrations committed with the code; CI green with no drift
* Integration tests cover the happy path and the listed cases
* Lead review","High","57600","","E3 Alerts and assignment gaps","sti-303","sprint-1","deliverable-3","alerts","ui",""
"Story","[STI-304] Alert preferences","Plan ID: STI-304 | Sprint: S4 Foundation - PO and entity management | Estimate: 8h (1d)

Full specification: docs/workings/RELEASE_1_SPRINT_PLAN.md

h3. Mechanism
Per-user control over non-critical noise.

h3. Acceptance criteria
* Per-user, per-rule opt-out for warn and info
* crit cannot be muted. The point of a critical alert is that it is not optional

h3. Depends on
STI-301

h3. Definition of done
* Reachable through the UI by a user with the right permission
* Custody-affecting changes write a complete ledger event
* Permissions checked, never role names
* Authorisation before data access
* Migrations committed with the code; CI green with no drift
* Integration tests cover the happy path and the listed cases
* Lead review","Low","28800","","E3 Alerts and assignment gaps","sti-304","sprint-4","deliverable-3","alerts","",""
"Story","[STI-401] Equipment department management view","Plan ID: STI-401 | Sprint: S3 Roles - org structure and Blocky migration | Estimate: 20h (2.5d)

Full specification: docs/workings/RELEASE_1_SPRINT_PLAN.md

h3. Mechanism
One screen where the Equipment department assigns foremen to projects and rigs (truck plus trailer) to foremen. /jobsites is the closest existing surface. The interaction model comes from the Blocky concept in design/README.md: the gap is the affordance. A crew with no truck renders a clickable '+ truck' chip where the value would be, opening an inline picker of unassigned vehicles. No modal, no navigation.

h3. Acceptance criteria
* Job -> crew -> tools, three levels, on one page. Jobs open by default, crews closed
* Assign and unassign foreman, truck and trailer inline; every change writes a ledger event
* The vehicle picker offers only genuinely unassigned units
* 'Needs vehicle' filter, because that is the department's morning question

h3. Depends on
STI-501

h3. Definition of done
* Reachable through the UI by a user with the right permission
* Custody-affecting changes write a complete ledger event
* Permissions checked, never role names
* Authorisation before data access
* Migrations committed with the code; CI green with no drift
* Integration tests cover the happy path and the listed cases
* Lead review","Highest","72000","","E4 Org structure and departure","sti-401","sprint-3","deliverable-4","ui","",""
"Story","[STI-402] Departure reassignment","Plan ID: STI-402 | Sprint: S3 Roles - org structure and Blocky migration | Estimate: 20h (2.5d)

Full specification: docs/workings/RELEASE_1_SPRINT_PLAN.md

h3. Mechanism
When a foreman leaves, everything they hold moves in ONE auditable action, not tool by tool. The successor comes from the reporting chain by default (superintendent, then PM). Personal vehicles are never reassigned: they are not Urban property and they leave with the person.

h3. Acceptance criteria
* One transaction. Partial reassignment is the failure this replaces
* Successor defaults to superintendent, then PM; if neither exists the action stops and demands an explicit choice rather than guessing
* Personal vehicles are skipped AND listed in the result so the desk knows what walked
* A preview shows exactly what will move, before it moves
* Ends the leaver's sessions

h3. Cases
* The successor is themselves inactive: refused, with a named alternative
* Leaver holds a trailer containing tools: the trailer moves and its contents follow, which is what physically happens
* Leaver holds nothing: succeeds quietly and still deactivates the account

h3. Depends on
STI-001, STI-101

h3. Definition of done
* Reachable through the UI by a user with the right permission
* Custody-affecting changes write a complete ledger event
* Permissions checked, never role names
* Authorisation before data access
* Migrations committed with the code; CI green with no drift
* Integration tests cover the happy path and the listed cases
* Lead review","Highest","72000","","E4 Org structure and departure","sti-402","sprint-3","deliverable-4","custody","",""
"Story","[STI-403] PM and superintendent management views","Plan ID: STI-403 | Sprint: S3 Roles - org structure and Blocky migration | Estimate: 16h (2d)

Full specification: docs/workings/RELEASE_1_SPRINT_PLAN.md

h3. Mechanism
The project side of the org structure, scoped by permission rather than by role name.

h3. Acceptance criteria
* A PM sees their projects, teams and rigs and can assign superintendents and foremen within the existing hierarchy
* A superintendent sees their crews and can assign foremen
* Both are scoped by permission (STI-802), not by role name

h3. Depends on
STI-802

h3. Definition of done
* Reachable through the UI by a user with the right permission
* Custody-affecting changes write a complete ledger event
* Permissions checked, never role names
* Authorisation before data access
* Migrations committed with the code; CI green with no drift
* Integration tests cover the happy path and the listed cases
* Lead review","High","57600","","E4 Org structure and departure","sti-403","sprint-3","deliverable-4","ui","",""
"Story","[STI-404] Temporary assignment on departure","Plan ID: STI-404 | Sprint: S3 Roles - org structure and Blocky migration | Estimate: 16h (2d)

Full specification: docs/workings/RELEASE_1_SPRINT_PLAN.md

h3. Mechanism
The specific case Urban named: a foreman is dismissed and custody goes temporarily to their superintendent, then to the PM if there is no superintendent.

h3. Acceptance criteria
* A reassignment can be flagged temporary with a review date
* Temporary holdings appear on the desk as an open item
* A temporary holding older than the SLA raises a warn alert

h3. Depends on
STI-402

h3. Definition of done
* Reachable through the UI by a user with the right permission
* Custody-affecting changes write a complete ledger event
* Permissions checked, never role names
* Authorisation before data access
* Migrations committed with the code; CI green with no drift
* Integration tests cover the happy path and the listed cases
* Lead review","Medium","57600","","E4 Org structure and departure","sti-404","sprint-3","deliverable-4","custody","",""
"Story","[STI-405] Org structure and departure tests","Plan ID: STI-405 | Sprint: S3 Roles - org structure and Blocky migration | Estimate: 20h (2.5d)

Full specification: docs/workings/RELEASE_1_SPRINT_PLAN.md

h3. Mechanism
Departure has more branches than any other flow in the system and each one loses tools if it is wrong.

h3. Acceptance criteria
* Integration coverage for the full assignment hierarchy
* Every departure branch: with and without successor, personal vs company vehicle, trailer with contents, inactive successor

h3. Depends on
STI-402

h3. Definition of done
* Reachable through the UI by a user with the right permission
* Custody-affecting changes write a complete ledger event
* Permissions checked, never role names
* Authorisation before data access
* Migrations committed with the code; CI green with no drift
* Integration tests cover the happy path and the listed cases
* Lead review","High","72000","","E4 Org structure and departure","sti-405","sprint-3","deliverable-4","testing","",""
"Story","[STI-501] Truck and trailer as first-class assignment fields","Plan ID: STI-501 | Sprint: S1 Release 1 - by 24 Aug 2026 | Estimate: 20h (2.5d)

Full specification: docs/workings/RELEASE_1_SPRINT_PLAN.md

h3. Mechanism
Split assignment.location_id into independently nullable truck_id and trailer_id. Both are recordable at once because both are true at once: a tool sits in a trailer that is towed by a truck. THE MIGRATION RISK IS THE FOLD, NOT THE COLUMNS. Ledger snapshots are historical and must never be rewritten, so foldAssetState has to handle the old single-location_id shape and the new one, forever. Blocks STI-301, STI-401, STI-503.

h3. Acceptance criteria
* Both columns exist, independently nullable, independently recordable
* Every reader of location_id is migrated. Grep for it; leave none
* The fold reads old and new snapshot shapes; a test pins an old-shape event replaying correctly
* Backfill maps existing location_id to whichever column matches the row's vehicle_type
* Company vs personal truck is visible wherever a truck is shown, because that distinction drives STI-402

h3. Cases
* A snapshot predating this change folds without loss
* A tool on a truck with no trailer, and a tool in a trailer parked in the yard with no truck: both are legal states and both render

h3. Depends on
STI-001

h3. Definition of done
* Reachable through the UI by a user with the right permission
* Custody-affecting changes write a complete ledger event
* Permissions checked, never role names
* Authorisation before data access
* Migrations committed with the code; CI green with no drift
* Integration tests cover the happy path and the listed cases
* Lead review","Highest","72000","","E5 Custody context and rig model","sti-501","sprint-1","deliverable-6","deliverable-7","migration","blocker"
